SchoolName,Lat,Lng,Type,Grades
Congdon Elementary,46.8166473,-92.0578866,Elementary,K-5
Homecroft Elementary,46.8570751,-92.110544,Elementary,K-5
Lakewood Elementary,46.9518942,-92.0057143,Elementary,K-5
Lester Park Elementary,46.8398378,-92.0178681,Elementary,K-5
Lowell Elementary,46.8140359,-92.1207735,Elementary,K-5
Laura MacArthur Elementary,46.7435681,-92.1658396,Elementary,K-5
Myers-Wilkins Elementary,46.8014769,-92.100377,Elementary,K-5
Piedmont Elementary,46.7834889,-92.1596082,Elementary,K-5
Stowe Elementary,46.6644064,-92.2293851,Elementary,K-5
Ordean East Middle,46.8176175,-92.0641527,Middle,6-8
Lincoln Park Middle,46.7626855,-92.1489822,Middle,6-8
East High School,46.8251354,-92.0433067,High,9-12
Denfeld High School,46.748535,-92.157845,High,9-12
